annee;code_commune;nom_commune;nb_etablissements;effectifs_salaries
2012;69001;Affoux;4.0;6.0
2012;69002;Aigueperse;3.0;5.0
2012;69003;Albigny-sur-Saône;46.0;236.0
2012;69004;Alix;10.0;35.0
2012;69005;Ambérieux;37.0;699.0
2012;69006;Amplepuis;141.0;1327.0
2012;69007;Ampuis;68.0;472.0
2012;69008;Ancy;8.0;10.0
2012;69009;Anse;176.0;1362.0
2012;69010;L'Arbresle;256.0;1929.0
2012;69012;Les Ardillats;7.0;20.0
2012;69013;Arnas;214.0;3073.0
2012;69014;Aveize;16.0;490.0
2012;69016;Azolette;1.0;0.0
2012;69017;Bagnols;19.0;42.0
2012;69018;Beaujeu;69.0;411.0
2012;69019;Belleville-en-Beaujolais;441.0;4270.0
2012;69020;Belmont-d'Azergues;5.0;10.0
2012;69021;Bessenay;47.0;258.0
2012;69022;Bibost;3.0;8.0
2012;69023;Blacé;29.0;71.0
2012;69024;Val d'Oingt;103.0;477.0
2012;69026;Le Breuil;9.0;30.0
2012;69027;Brignais;633.0;7511.0
2012;69028;Brindas;156.0;897.0
2012;69029;Bron;1016.0;12253.0
2012;69030;Brullioles;18.0;66.0
2012;69031;Brussieu;21.0;92.0
2012;69032;Bully;57.0;318.0
2012;69033;Cailloux-sur-Fontaines;93.0;828.0
2012;69034;Caluire-et-Cuire;1030.0;10410.0
2012;69035;Cenves;7.0;16.0
2012;69036;Cercié;30.0;116.0
2012;69037;Chambost-Allières;13.0;213.0
2012;69038;Chambost-Longessaigne;12.0;25.0
2012;69039;Chamelet;6.0;18.0
2012;69040;Champagne-au-Mont-d'Or;373.0;3581.0
2012;69042;La Chapelle-sur-Coise;4.0;5.0
2012;69043;Chaponost;279.0;3669.0
2012;69044;Charbonnières-les-Bains;160.0;1221.0
2012;69045;Charentay;11.0;61.0
2012;69046;Charly;87.0;436.0
2012;69047;Charnay;22.0;87.0
2012;69049;Chasselay;63.0;300.0
2012;69050;Châtillon;53.0;291.0
2012;69051;Chaussan;8.0;29.0
2012;69052;Chazay-d'Azergues;79.0;438.0
2012;69053;Chénas;6.0;15.0
2012;69054;Chénelette;9.0;46.0
2012;69055;Les Chères;41.0;246.0
2012;69056;Chessy;33.0;118.0
2012;69057;Chevinay;2.0;2.0
2012;69058;Chiroubles;4.0;15.0
2012;69059;Civrieux-d'Azergues;82.0;1114.0
2012;69060;Claveisolles;10.0;51.0
2012;69061;Cogny;17.0;53.0
2012;69062;Coise;8.0;27.0
2012;69063;Collonges-au-Mont-d'Or;103.0;836.0
2012;69064;Condrieu;120.0;946.0
2012;69065;Corcelles-en-Beaujolais;23.0;93.0
2012;69066;Cours;161.0;2115.0
2012;69067;Courzieu;20.0;108.0
2012;69068;Couzon-au-Mont-d'Or;77.0;831.0
2012;69069;Craponne;327.0;2957.0
2012;69070;Cublize;32.0;123.0
2012;69071;Curis-au-Mont-d'Or;16.0;85.0
2012;69072;Dardilly;613.0;8013.0
2012;69074;Denicé;25.0;102.0
2012;69075;Dième;3.0;10.0
2012;69076;Dommartin;61.0;548.0
2012;69077;Dracé;14.0;99.0
2012;69078;Duerne;19.0;131.0
2012;69080;Échalas;21.0;99.0
2012;69081;Écully;647.0;10535.0
2012;69082;Émeringes;2.0;12.0
2012;69083;Éveux;10.0;87.0
2012;69084;Fleurie;33.0;93.0
2012;69085;Fleurieu-sur-Saône;40.0;134.0
2012;69086;Fleurieux-sur-l'Arbresle;51.0;314.0
2012;69087;Fontaines-Saint-Martin;42.0;240.0
2012;69088;Fontaines-sur-Saône;153.0;749.0
2012;69089;Francheville;264.0;2505.0
2012;69090;Frontenas;21.0;128.0
2012;69091;Givors;450.0;4422.0
2012;69092;Gleizé;234.0;1812.0
2012;69093;Grandris;18.0;53.0
2012;69094;Grézieu-la-Varenne;120.0;679.0
2012;69095;Grézieu-le-Marché;10.0;82.0
2012;69096;Grigny-sur-Rhône;194.0;2055.0
2012;69097;Les Haies;9.0;29.0
2012;69098;Les Halles;5.0;38.0
2012;69099;Haute-Rivoire;29.0;256.0
2012;69100;Irigny;212.0;3670.0
2012;69102;Joux;15.0;146.0
2012;69103;Juliénas;22.0;80.0
2012;69105;Lacenas;21.0;79.0
2012;69106;Lachassagne;14.0;148.0
2012;69107;Lamure-sur-Azergues;42.0;252.0
2012;69108;Lancié;20.0;53.0
2012;69109;Lantignié;11.0;39.0
2012;69110;Larajasse;29.0;121.0
2012;69111;Légny;21.0;74.0
2012;69112;Lentilly;143.0;1472.0
2012;69113;Létra;11.0;96.0
2012;69115;Limas;248.0;2487.0
2012;69116;Limonest;428.0;7401.0
2012;69117;Lissieu;175.0;1930.0
2012;69118;Loire-sur-Rhône;74.0;468.0
2012;69119;Longes;6.0;8.0
2012;69120;Longessaigne;12.0;44.0
2012;69121;Lozanne;105.0;917.0
2012;69122;Lucenay;35.0;135.0
2012;69124;Marchampt;4.0;16.0
2012;69125;Marcilly-d'Azergues;50.0;304.0
2012;69126;Marcy;12.0;21.0
2012;69127;Marcy-l'Étoile;78.0;5614.0
2012;69130;Meaux-la-Montagne;1.0;2.0
2012;69131;Messimy;95.0;985.0
2012;69132;Meys;15.0;190.0
2012;69133;Millery;94.0;535.0
2012;69134;Moiré;1.0;13.0
2012;69135;Deux-Grosnes;38.0;439.0
2012;69136;Montagny;90.0;894.0
2012;69137;Montmelas-Saint-Sorlin;6.0;57.0
2012;69138;Montromant;5.0;8.0
2012;69139;Montrottier;29.0;274.0
2012;69140;Morancé;38.0;399.0
2012;69141;Mornant;222.0;1796.0
2012;69142;La Mulatière;99.0;688.0
2012;69143;Neuville-sur-Saône;270.0;2394.0
2012;69145;Odenas;10.0;36.0
2012;69148;Orliénas;39.0;108.0
2012;69149;Oullins-Pierre-Bénite;713.0;8162.0
2012;69151;Le Perréon;25.0;94.0
2012;69152;Pierre-Bénite;140.0;1517.0
2012;69153;Poleymieux-au-Mont-d'Or;20.0;40.0
2012;69154;Pollionnay;35.0;271.0
2012;69155;Pomeys;20.0;63.0
2012;69156;Pommiers;40.0;266.0
2012;69157;Vindry-sur-Turdine;144.0;1232.0
2012;69159;Porte des Pierres Dorées;67.0;248.0
2012;69160;Poule-les-Écharmeaux;33.0;91.0
2012;69161;Propières;18.0;119.0
2012;69162;Quincié-en-Beaujolais;39.0;283.0
2012;69163;Quincieux;86.0;824.0
2012;69164;Ranchal;8.0;17.0
2012;69165;Régnié-Durette;15.0;56.0
2012;69166;Riverie;4.0;42.0
2012;69167;Rivolet;8.0;15.0
2012;69168;Rochetaillée-sur-Saône;29.0;148.0
2012;69169;Ronno;7.0;33.0
2012;69170;Rontalon;17.0;52.0
2012;69171;Sain-Bel;68.0;470.0
2012;69172;Salles-Arbuissonnas-en-Beaujolais;10.0;67.0
2012;69173;Sarcey;27.0;224.0
2012;69174;Les Sauvages;13.0;181.0
2012;69175;Savigny;74.0;1070.0
2012;69176;Soucieu-en-Jarrest;79.0;355.0
2012;69177;Sourcieux-les-Mines;20.0;55.0
2012;69178;Souzy;17.0;128.0
2012;69179;Beauvallon;80.0;542.0
2012;69180;Saint-André-la-Côte;4.0;9.0
2012;69181;Saint-Appolinaire;2.0;3.0
2012;69182;Saint-Bonnet-des-Bruyères;7.0;35.0
2012;69183;Saint-Bonnet-le-Troncy;2.0;15.0
2012;69184;Sainte-Catherine;16.0;43.0
2012;69186;Saint-Clément-de-Vers;4.0;18.0
2012;69187;Saint-Clément-les-Places;16.0;55.0
2012;69188;Saint-Clément-sur-Valsonne;13.0;108.0
2012;69189;Sainte-Colombe;48.0;439.0
2012;69190;Sainte-Consorce;56.0;587.0
2012;69191;Saint-Cyr-au-Mont-d'Or;138.0;1346.0
2012;69192;Saint-Cyr-le-Chatoux;3.0;5.0
2012;69193;Saint-Cyr-sur-le-Rhône;27.0;106.0
2012;69194;Saint-Didier-au-Mont-d'Or;215.0;2099.0
2012;69196;Saint-Didier-sur-Beaujeu;12.0;55.0
2012;69197;Saint-Étienne-des-Oullières;54.0;194.0
2012;69198;Saint-Étienne-la-Varenne;9.0;9.0
2012;69199;Saint-Fons;395.0;5198.0
2012;69200;Saint-Forgeux;39.0;262.0
2012;69201;Sainte-Foy-l'Argentière;56.0;616.0
2012;69202;Sainte-Foy-lès-Lyon;482.0;3474.0
2012;69203;Saint-Genis-l'Argentière;15.0;106.0
2012;69204;Saint-Genis-Laval;638.0;9014.0
2012;69205;Saint-Genis-les-Ollières;90.0;736.0
2012;69206;Saint-Georges-de-Reneins;140.0;1062.0
2012;69207;Saint-Germain-au-Mont-d'Or;44.0;265.0
2012;69208;Saint-Germain-Nuelles;39.0;926.0
2012;69209;Saint-Igny-de-Vers;18.0;132.0
2012;69212;Saint-Jean-des-Vignes;6.0;14.0
2012;69214;Saint-Jean-la-Bussière;23.0;188.0
2012;69215;Saint-Julien;16.0;35.0
2012;69216;Saint-Julien-sur-Bibost;10.0;31.0
2012;69217;Saint-Just-d'Avray;19.0;69.0
2012;69218;Saint-Lager;34.0;219.0
2012;69219;Saint-Laurent-d'Agny;44.0;370.0
2012;69220;Saint-Laurent-de-Chamousset;73.0;739.0
2012;69225;Saint-Marcel-l'Éclairé;7.0;44.0
2012;69227;Saint-Martin-en-Haut;128.0;968.0
2012;69228;Chabanière;62.0;630.0
2012;69229;Saint-Nizier-d'Azergues;14.0;93.0
2012;69230;Sainte-Paule;2.0;6.0
2012;69231;Saint-Pierre-la-Palud;37.0;290.0
2012;69233;Saint-Romain-au-Mont-d'Or;27.0;165.0
2012;69234;Saint-Romain-de-Popey;45.0;292.0
2012;69235;Saint-Romain-en-Gal;58.0;365.0
2012;69236;Saint-Romain-en-Gier;6.0;155.0
2012;69238;Saint-Symphorien-sur-Coise;149.0;1523.0
2012;69239;Saint-Vérand;17.0;71.0
2012;69240;Saint-Vincent-de-Reins;15.0;219.0
2012;69241;Taluyers;81.0;511.0
2012;69242;Taponas;17.0;131.0
2012;69243;Tarare;335.0;3157.0
2012;69244;Tassin-la-Demi-Lune;600.0;4364.0
2012;69245;Ternand;22.0;90.0
2012;69246;Theizé;31.0;172.0
2012;69248;Thizy-les-Bourgs;159.0;1740.0
2012;69249;Thurins;66.0;320.0
2012;69250;La Tour-de-Salvagny;106.0;1060.0
2012;69252;Trèves;6.0;18.0
2012;69253;Tupin-et-Semons;11.0;44.0
2012;69254;Valsonne;12.0;84.0
2012;69255;Vaugneray;142.0;1173.0
2012;69256;Vaulx-en-Velin;1400.0;15939.0
2012;69257;Vaux-en-Beaujolais;11.0;33.0
2012;69258;Vauxrenard;3.0;6.0
2012;69259;Vénissieux;1399.0;24190.0
2012;69260;Vernaison;86.0;823.0
2012;69261;Vernay;2.0;17.0
2012;69263;Villechenève;17.0;134.0
2012;69264;Villefranche-sur-Saône;1514.0;13399.0
2012;69265;Ville-sur-Jarnioux;10.0;24.0
2012;69266;Villeurbanne;3737.0;44922.0
2012;69267;Villié-Morgon;58.0;184.0
2012;69268;Vourles;141.0;1413.0
2012;69269;Yzeron;14.0;47.0
2012;69270;Chaponnay;168.0;3888.0
2012;69271;Chassieu;639.0;9003.0
2012;69272;Communay;60.0;595.0
2012;69273;Corbas;451.0;8809.0
2012;69275;Décines-Charpieu;867.0;8563.0
2012;69276;Feyzin;214.0;3965.0
2012;69277;Genas;562.0;7871.0
2012;69278;Genay;193.0;2939.0
2012;69279;Jonage;145.0;1893.0
2012;69280;Jons;39.0;154.0
2012;69281;Marennes;43.0;380.0
2012;69282;Meyzieu;750.0;12053.0
2012;69283;Mions;347.0;3747.0
2012;69284;Montanay;79.0;617.0
2012;69285;Pusignan;191.0;2376.0
2012;69286;Rillieux-la-Pape;736.0;8528.0
2012;69287;Saint-Bonnet-de-Mure;259.0;2654.0
2012;69288;Saint-Laurent-de-Mure;162.0;2053.0
2012;69289;Saint-Pierre-de-Chandieu;170.0;1827.0
2012;69290;Saint-Priest;1711.0;34564.0
2012;69291;Saint-Symphorien-d'Ozon;173.0;2124.0
2012;69292;Sathonay-Camp;84.0;350.0
2012;69293;Sathonay-Village;28.0;138.0
2012;69294;Sérézin-du-Rhône;78.0;759.0
2012;69295;Simandres;25.0;70.0
2012;69296;Solaize;66.0;1973.0
2012;69297;Ternay;119.0;885.0
2012;69298;Toussieu;95.0;900.0
2012;69299;Colombier-Saugnieu;205.0;5304.0
2012;69381;Lyon 81e Arrondissement;1574.0;8479.0
2012;69382;Lyon 82e Arrondissement;3560.0;31959.0
2012;69383;Lyon 83e Arrondissement;4390.0;61729.0
2012;69384;Lyon 84e Arrondissement;1128.0;5786.0
2012;69385;Lyon 85e Arrondissement;1110.0;8188.0
2012;69386;Lyon 86e Arrondissement;3558.0;29512.0
2012;69387;Lyon 87e Arrondissement;2901.0;40386.0
2012;69388;Lyon 88e Arrondissement;1589.0;17755.0
2012;69389;Lyon 89e Arrondissement;1967.0;24137.0
2017;69001;Affoux;3.0;4.0
2017;69002;Aigueperse;2.0;4.0
2017;69003;Albigny-sur-Saône;42.0;225.0
2017;69004;Alix;8.0;20.0
2017;69005;Ambérieux;29.0;671.0
2017;69006;Amplepuis;134.0;1330.0
2017;69007;Ampuis;63.0;478.0
2017;69008;Ancy;5.0;7.0
2017;69009;Anse;188.0;1338.0
2017;69010;L'Arbresle;249.0;1963.0
2017;69012;Les Ardillats;7.0;21.0
2017;69013;Arnas;238.0;3207.0
2017;69014;Aveize;18.0;484.0
2017;69017;Bagnols;22.0;82.0
2017;69018;Beaujeu;69.0;458.0
2017;69019;Belleville-en-Beaujolais;449.0;4865.0
2017;69020;Belmont-d'Azergues;2.0;5.0
2017;69021;Bessenay;54.0;298.0
2017;69022;Bibost;3.0;4.0
2017;69023;Blacé;34.0;105.0
2017;69024;Val d'Oingt;113.0;569.0
2017;69026;Le Breuil;6.0;29.0
2017;69027;Brignais;700.0;7643.0
2017;69028;Brindas;175.0;881.0
2017;69029;Bron;1004.0;12966.0
2017;69030;Brullioles;18.0;72.0
2017;69031;Brussieu;24.0;116.0
2017;69032;Bully;56.0;353.0
2017;69033;Cailloux-sur-Fontaines;100.0;840.0
2017;69034;Caluire-et-Cuire;1023.0;10146.0
2017;69035;Cenves;5.0;10.0
2017;69036;Cercié;31.0;125.0
2017;69037;Chambost-Allières;14.0;187.0
2017;69038;Chambost-Longessaigne;19.0;38.0
2017;69039;Chamelet;11.0;20.0
2017;69040;Champagne-au-Mont-d'Or;378.0;3936.0
2017;69042;La Chapelle-sur-Coise;2.0;5.0
2017;69043;Chaponost;299.0;4198.0
2017;69044;Charbonnières-les-Bains;165.0;1472.0
2017;69045;Charentay;17.0;41.0
2017;69046;Charly;77.0;358.0
2017;69047;Charnay;26.0;99.0
2017;69049;Chasselay;65.0;296.0
2017;69050;Châtillon;48.0;280.0
2017;69051;Chaussan;10.0;16.0
2017;69052;Chazay-d'Azergues;80.0;528.0
2017;69053;Chénas;4.0;10.0
2017;69054;Chénelette;9.0;32.0
2017;69055;Les Chères;37.0;214.0
2017;69056;Chessy;36.0;156.0
2017;69057;Chevinay;3.0;6.0
2017;69058;Chiroubles;3.0;12.0
2017;69059;Civrieux-d'Azergues;80.0;1124.0
2017;69060;Claveisolles;8.0;41.0
2017;69061;Cogny;17.0;53.0
2017;69062;Coise;9.0;38.0
2017;69063;Collonges-au-Mont-d'Or;102.0;748.0
2017;69064;Condrieu;106.0;800.0
2017;69065;Corcelles-en-Beaujolais;25.0;95.0
2017;69066;Cours;145.0;1962.0
2017;69067;Courzieu;14.0;101.0
2017;69068;Couzon-au-Mont-d'Or;70.0;734.0
2017;69069;Craponne;354.0;3091.0
2017;69070;Cublize;28.0;137.0
2017;69071;Curis-au-Mont-d'Or;18.0;118.0
2017;69072;Dardilly;646.0;8582.0
2017;69074;Denicé;23.0;79.0
2017;69075;Dième;1.0;4.0
2017;69076;Dommartin;67.0;510.0
2017;69077;Dracé;15.0;62.0
2017;69078;Duerne;18.0;154.0
2017;69080;Échalas;19.0;98.0
2017;69081;Écully;659.0;10170.0
2017;69082;Émeringes;1.0;12.0
2017;69083;Éveux;12.0;121.0
2017;69084;Fleurie;35.0;91.0
2017;69085;Fleurieu-sur-Saône;37.0;142.0
2017;69086;Fleurieux-sur-l'Arbresle;60.0;332.0
2017;69087;Fontaines-Saint-Martin;42.0;227.0
2017;69088;Fontaines-sur-Saône;149.0;724.0
2017;69089;Francheville;283.0;2535.0
2017;69090;Frontenas;20.0;120.0
2017;69091;Givors;394.0;3981.0
2017;69092;Gleizé;237.0;2015.0
2017;69093;Grandris;15.0;43.0
2017;69094;Grézieu-la-Varenne;117.0;752.0
2017;69095;Grézieu-le-Marché;14.0;92.0
2017;69096;Grigny-sur-Rhône;181.0;1799.0
2017;69097;Les Haies;7.0;16.0
2017;69098;Les Halles;7.0;28.0
2017;69099;Haute-Rivoire;26.0;271.0
2017;69100;Irigny;219.0;4184.0
2017;69102;Joux;12.0;112.0
2017;69103;Juliénas;18.0;63.0
2017;69105;Lacenas;23.0;88.0
2017;69106;Lachassagne;14.0;121.0
2017;69107;Lamure-sur-Azergues;43.0;281.0
2017;69108;Lancié;23.0;68.0
2017;69109;Lantignié;11.0;42.0
2017;69110;Larajasse;32.0;134.0
2017;69111;Légny;21.0;67.0
2017;69112;Lentilly;170.0;1709.0
2017;69113;Létra;16.0;103.0
2017;69115;Limas;274.0;2607.0
2017;69116;Limonest;504.0;10086.0
2017;69117;Lissieu;202.0;1963.0
2017;69118;Loire-sur-Rhône;56.0;386.0
2017;69119;Longes;6.0;10.0
2017;69120;Longessaigne;11.0;44.0
2017;69121;Lozanne;108.0;807.0
2017;69122;Lucenay;35.0;140.0
2017;69124;Marchampt;2.0;11.0
2017;69125;Marcilly-d'Azergues;49.0;275.0
2017;69126;Marcy;13.0;32.0
2017;69127;Marcy-l'Étoile;80.0;6208.0
2017;69130;Meaux-la-Montagne;3.0;14.0
2017;69131;Messimy;97.0;1621.0
2017;69132;Meys;15.0;212.0
2017;69133;Millery;124.0;617.0
2017;69134;Moiré;1.0;6.0
2017;69135;Deux-Grosnes;37.0;451.0
2017;69136;Montagny;95.0;932.0
2017;69137;Montmelas-Saint-Sorlin;3.0;55.0
2017;69138;Montromant;3.0;8.0
2017;69139;Montrottier;32.0;268.0
2017;69140;Morancé;39.0;280.0
2017;69141;Mornant;244.0;1946.0
2017;69142;La Mulatière;114.0;1090.0
2017;69143;Neuville-sur-Saône;272.0;2080.0
2017;69145;Odenas;8.0;48.0
2017;69148;Orliénas;38.0;95.0
2017;69149;Oullins-Pierre-Bénite;757.0;8400.0
2017;69151;Le Perréon;25.0;84.0
2017;69152;Pierre-Bénite;83.0;1215.0
2017;69153;Poleymieux-au-Mont-d'Or;15.0;30.0
2017;69154;Pollionnay;31.0;234.0
2017;69155;Pomeys;19.0;54.0
2017;69156;Pommiers;47.0;414.0
2017;69157;Vindry-sur-Turdine;134.0;1236.0
2017;69159;Porte des Pierres Dorées;72.0;252.0
2017;69160;Poule-les-Écharmeaux;26.0;86.0
2017;69161;Propières;13.0;95.0
2017;69162;Quincié-en-Beaujolais;43.0;281.0
2017;69163;Quincieux;96.0;837.0
2017;69164;Ranchal;6.0;10.0
