annee;code_commune;nom_commune;population
2013;69001;Affoux;344.0
2013;69002;Aigueperse;249.0
2013;69003;Albigny-sur-Saône;2804.0
2013;69004;Alix;746.0
2013;69005;Ambérieux;542.0
2013;69006;Amplepuis;5032.0
2013;69007;Ampuis;2696.0
2013;69008;Ancy;606.0
2013;69009;Anse;6588.0
2013;69010;L' Arbresle;6271.0
2013;69012;Les Ardillats;623.0
2013;69013;Arnas;3428.0
2013;69014;Aveize;1115.0
2013;69016;Azolette;127.0
2013;69017;Bagnols;659.0
2013;69018;Beaujeu;2039.0
2013;69019;Belleville;8123.0
2013;69020;Belmont-d'Azergues;624.0
2013;69021;Bessenay;2253.0
2013;69022;Bibost;551.0
2013;69023;Blacé;1469.0
2013;69024;Le Bois-d'Oingt;2334.0
2013;69026;Le Breuil;454.0
2013;69027;Brignais;11429.0
2013;69028;Brindas;5775.0
2013;69029;Bron;38746.0
2013;69030;Brullioles;812.0
2013;69031;Brussieu;1261.0
2013;69032;Bully;2086.0
2013;69033;Cailloux-sur-Fontaines;2525.0
2013;69034;Caluire-et-Cuire;42581.0
2013;69035;Cenves;407.0
2013;69036;Cercié;1130.0
2013;69037;Chambost-Allières;794.0
2013;69038;Chambost-Longessaigne;916.0
2013;69039;Chamelet;641.0
2013;69040;Champagne-au-Mont-d'Or;5613.0
2013;69042;La Chapelle-sur-Coise;565.0
2013;69043;Chaponost;8099.0
2013;69044;Charbonnières-les-Bains;4919.0
2013;69045;Charentay;1197.0
2013;69046;Charly;4448.0
2013;69047;Charnay;1094.0
2013;69049;Chasselay;2695.0
2013;69050;Châtillon;2194.0
2013;69051;Chaussan;1024.0
2013;69052;Chazay-d'Azergues;4007.0
2013;69053;Chénas;542.0
2013;69054;Chénelette;322.0
2013;69055;Les Chères;1440.0
2013;69056;Chessy;1857.0
2013;69057;Chevinay;541.0
2013;69058;Chiroubles;413.0
2013;69059;Civrieux-d'Azergues;1520.0
2013;69060;Claveisolles;649.0
2013;69061;Cogny;1154.0
2013;69062;Coise;756.0
2013;69063;Collonges-au-Mont-d'Or;3911.0
2013;69064;Condrieu;3873.0
2013;69065;Corcelles-en-Beaujolais;883.0
2013;69066;Cours-la-Ville;3797.0
2013;69067;Courzieu;1095.0
2013;69068;Couzon-au-Mont-d'Or;2598.0
2013;69069;Craponne;10466.0
2013;69070;Cublize;1236.0
2013;69071;Curis-au-Mont-d'Or;1147.0
2013;69072;Dardilly;8538.0
2013;69074;Denicé;1385.0
2013;69075;Dième;206.0
2013;69076;Dommartin;2637.0
2013;69077;Dracé;991.0
2013;69078;Duerne;786.0
2013;69080;Échalas;1670.0
2013;69081;Écully;17787.0
2013;69082;Émeringes;230.0
2013;69083;Éveux;1243.0
2013;69084;Fleurie;1266.0
2013;69085;Fleurieu-sur-Saône;1400.0
2013;69086;Fleurieux-sur-l'Arbresle;2337.0
2013;69087;Fontaines-Saint-Martin;3091.0
2013;69088;Fontaines-sur-Saône;6469.0
2013;69089;Francheville;14094.0
2013;69090;Frontenas;812.0
2013;69091;Givors;19574.0
2013;69092;Gleizé;7593.0
2013;69093;Grandris;1138.0
2013;69094;Grézieu-la-Varenne;5331.0
2013;69095;Grézieu-le-Marché;770.0
2013;69096;Grigny;9419.0
2013;69097;Les Haies;804.0
2013;69098;Les Halles;478.0
2013;69099;Haute-Rivoire;1399.0
2013;69100;Irigny;8361.0
2013;69102;Joux;657.0
2013;69103;Juliénas;853.0
2013;69104;Jullié;426.0
2013;69105;Lacenas;923.0
2013;69106;Lachassagne;992.0
2013;69107;Lamure-sur-Azergues;1040.0
2013;69108;Lancié;968.0
2013;69109;Lantignié;852.0
2013;69110;Larajasse;1854.0
2013;69111;Légny;657.0
2013;69112;Lentilly;5289.0
2013;69113;Létra;939.0
2013;69115;Limas;4616.0
2013;69116;Limonest;3409.0
2013;69117;Lissieu;3096.0
2013;69118;Loire-sur-Rhône;2529.0
2013;69119;Longes;922.0
2013;69120;Longessaigne;601.0
2013;69121;Lozanne;2611.0
2013;69122;Lucenay;1834.0
2013;69124;Marchampt;441.0
2013;69125;Marcilly-d'Azergues;873.0
2013;69126;Marcy;617.0
2013;69127;Marcy-l'Étoile;3598.0
2013;69130;Meaux-la-Montagne;251.0
2013;69131;Messimy;3366.0
2013;69132;Meys;841.0
2013;69133;Millery;3909.0
2013;69134;Moiré;199.0
2013;69135;Monsols;946.0
2013;69136;Montagny;2693.0
2013;69137;Montmelas-Saint-Sorlin;453.0
2013;69138;Montromant;439.0
2013;69139;Montrottier;1322.0
2013;69140;Morancé;2109.0
2013;69141;Mornant;5550.0
2013;69142;La Mulatière;6526.0
2013;69143;Neuville-sur-Saône;7242.0
2013;69145;Odenas;896.0
2013;69148;Orliénas;2308.0
2013;69149;Oullins;26072.0
2013;69151;Le Perréon;1475.0
2013;69152;Pierre-Bénite;10132.0
2013;69153;Poleymieux-au-Mont-d'Or;1308.0
2013;69154;Pollionnay;2205.0
2013;69155;Pomeys;1116.0
2013;69156;Pommiers;2382.0
2013;69157;Pontcharra-sur-Turdine;2592.0
2013;69159;Pouilly-le-Monial;961.0
2013;69160;Poule-les-Écharmeaux;1102.0
2013;69161;Propières;461.0
2013;69162;Quincié-en-Beaujolais;1270.0
2013;69163;Quincieux;3295.0
2013;69164;Ranchal;309.0
2013;69165;Régnié-Durette;1094.0
2013;69166;Riverie;304.0
2013;69167;Rivolet;577.0
2013;69168;Rochetaillée-sur-Saône;1527.0
2013;69169;Ronno;620.0
2013;69170;Rontalon;1195.0
2013;69171;Sain-Bel;2275.0
2013;69172;Salles-Arbuissonnas-en-Beaujolais;823.0
2013;69173;Sarcey;958.0
2013;69174;Les Sauvages;657.0
2013;69175;Savigny;1990.0
2013;69176;Soucieu-en-Jarrest;4198.0
2013;69177;Sourcieux-les-Mines;1990.0
2013;69178;Souzy;772.0
2013;69179;Saint-Andéol-le-Château;1698.0
2013;69180;Saint-André-la-Côte;279.0
2013;69181;Saint-Appolinaire;189.0
2013;69182;Saint-Bonnet-des-Bruyères;387.0
2013;69183;Saint-Bonnet-le-Troncy;301.0
2013;69184;Sainte-Catherine;950.0
2013;69186;Saint-Clément-de-Vers;220.0
2013;69187;Saint-Clément-les-Places;621.0
2013;69188;Saint-Clément-sur-Valsonne;818.0
2013;69189;Sainte-Colombe;1868.0
2013;69190;Sainte-Consorce;1849.0
2013;69191;Saint-Cyr-au-Mont-d'Or;5485.0
2013;69192;Saint-Cyr-le-Chatoux;136.0
2013;69193;Saint-Cyr-sur-le-Rhône;1270.0
2013;69194;Saint-Didier-au-Mont-d'Or;6466.0
2013;69196;Saint-Didier-sur-Beaujeu;637.0
2013;69197;Saint-Étienne-des-Oullières;2019.0
2013;69198;Saint-Étienne-la-Varenne;727.0
2013;69199;Saint-Fons;17584.0
2013;69200;Saint-Forgeux;1479.0
2013;69201;Sainte-Foy-l'Argentière;1297.0
2013;69202;Sainte-Foy-lès-Lyon;21646.0
2013;69203;Saint-Genis-l'Argentière;1045.0
2013;69204;Saint-Genis-Laval;20696.0
2013;69205;Saint-Genis-les-Ollières;4569.0
2013;69206;Saint-Georges-de-Reneins;4320.0
2013;69207;Saint-Germain-au-Mont-d'Or;2929.0
2013;69208;Saint-Germain-Nuelles;2116.0
2013;69209;Saint-Igny-de-Vers;600.0
2013;69212;Saint-Jean-des-Vignes;408.0
2013;69214;Saint-Jean-la-Bussière;1171.0
2013;69215;Saint-Julien;823.0
2013;69216;Saint-Julien-sur-Bibost;556.0
2013;69217;Saint-Just-d'Avray;754.0
2013;69218;Saint-Lager;978.0
2013;69219;Saint-Laurent-d'Agny;2109.0
2013;69220;Saint-Laurent-de-Chamousset;1928.0
2013;69225;Saint-Marcel-l'Éclairé;514.0
2013;69227;Saint-Martin-en-Haut;3892.0
2013;69228;Saint-Maurice-sur-Dargoire;2276.0
2013;69229;Saint-Nizier-d'Azergues;735.0
2013;69230;Sainte-Paule;345.0
2013;69231;Saint-Pierre-la-Palud;2614.0
2013;69233;Saint-Romain-au-Mont-d'Or;1102.0
2013;69234;Saint-Romain-de-Popey;1444.0
2013;69235;Saint-Romain-en-Gal;1718.0
2013;69236;Saint-Romain-en-Gier;538.0
2013;69238;Saint-Symphorien-sur-Coise;3566.0
2013;69239;Saint-Vérand;1113.0
2013;69240;Saint-Vincent-de-Reins;666.0
2013;69241;Taluyers;2438.0
2013;69242;Taponas;945.0
2013;69243;Tarare;10733.0
2013;69244;Tassin-la-Demi-Lune;21102.0
2013;69245;Ternand;702.0
2013;69246;Theizé;1104.0
2013;69248;Thizy-les-Bourgs;6377.0
2013;69249;Thurins;2964.0
2013;69250;La Tour-de-Salvagny;3922.0
2013;69252;Trèves;712.0
2013;69253;Tupin-et-Semons;615.0
2013;69254;Valsonne;899.0
2013;69255;Vaugneray;5207.0
2013;69256;Vaulx-en-Velin;44087.0
2013;69257;Vaux-en-Beaujolais;1060.0
2013;69258;Vauxrenard;315.0
2013;69259;Vénissieux;61636.0
2013;69260;Vernaison;4582.0
2013;69261;Vernay;107.0
2013;69263;Villechenève;893.0
2013;69264;Villefranche-sur-Saône;36531.0
2013;69265;Ville-sur-Jarnioux;806.0
2013;69266;Villeurbanne;147192.0
2013;69267;Villié-Morgon;2048.0
2013;69268;Vourles;3207.0
2013;69269;Yzeron;1015.0
2013;69270;Chaponnay;3869.0
2013;69271;Chassieu;9837.0
2013;69272;Communay;4128.0
2013;69273;Corbas;10968.0
2013;69275;Décines-Charpieu;26826.0
2013;69276;Feyzin;9377.0
2013;69277;Genas;12341.0
2013;69278;Genay;5251.0
2013;69279;Jonage;5843.0
2013;69280;Jons;1389.0
2013;69281;Marennes;1552.0
2013;69282;Meyzieu;31438.0
2013;69283;Mions;12485.0
2013;69284;Montanay;2934.0
2013;69285;Pusignan;3756.0
2013;69286;Rillieux-la-Pape;30645.0
2013;69287;Saint-Bonnet-de-Mure;6818.0
2013;69288;Saint-Laurent-de-Mure;5361.0
2013;69289;Saint-Pierre-de-Chandieu;4615.0
2013;69290;Saint-Priest;42950.0
2013;69291;Saint-Symphorien-d'Ozon;5503.0
2013;69292;Sathonay-Camp;4715.0
2013;69293;Sathonay-Village;2326.0
2013;69294;Sérézin-du-Rhône;2632.0
2013;69295;Simandres;1691.0
2013;69296;Solaize;2990.0
2013;69297;Ternay;5382.0
2013;69298;Toussieu;2542.0
2013;69299;Colombier-Saugnieu;2505.0
2013;69381;Lyon 1er Arrondissement;29313.0
2013;69382;Lyon 2e  Arrondissement;30804.0
2013;69383;Lyon 3e  Arrondissement;98956.0
2013;69384;Lyon 4e  Arrondissement;36336.0
2013;69385;Lyon 5e  Arrondissement;46630.0
2013;69386;Lyon 6e  Arrondissement;50364.0
2013;69387;Lyon 7e  Arrondissement;77855.0
2013;69388;Lyon 8e  Arrondissement;81531.0
2013;69389;Lyon 9e  Arrondissement;48926.0
2017;69001;Affoux;369.0
2017;69002;Aigueperse;248.0
2017;69003;Albigny-sur-Saône;2880.0
2017;69004;Alix;763.0
2017;69005;Ambérieux;578.0
2017;69006;Amplepuis;4976.0
2017;69007;Ampuis;2713.0
2017;69008;Ancy;640.0
2017;69009;Anse;7178.0
2017;69010;L' Arbresle;6398.0
2017;69012;Les Ardillats;622.0
2017;69013;Arnas;3778.0
2017;69014;Aveize;1127.0
2017;69016;Azolette;120.0
2017;69017;Bagnols;731.0
2017;69018;Beaujeu;2157.0
2017;69019;Belleville;12971.0
2017;69020;Belmont-d'Azergues;631.0
2017;69021;Bessenay;2293.0
2017;69022;Bibost;575.0
2017;69023;Blacé;1631.0
2017;69024;Le Bois-d'Oingt;4037.0
2017;69026;Le Breuil;530.0
2017;69027;Brignais;11434.0
2017;69028;Brindas;6174.0
2017;69029;Bron;41543.0
2017;69030;Brullioles;816.0
2017;69031;Brussieu;1376.0
2017;69032;Bully;1982.0
2017;69033;Cailloux-sur-Fontaines;2722.0
2017;69034;Caluire-et-Cuire;43187.0
2017;69035;Cenves;391.0
2017;69036;Cercié;1128.0
2017;69037;Chambost-Allières;839.0
2017;69038;Chambost-Longessaigne;938.0
2017;69039;Chamelet;682.0
2017;69040;Champagne-au-Mont-d'Or;5526.0
2017;69042;La Chapelle-sur-Coise;573.0
2017;69043;Chaponost;8717.0
2017;69044;Charbonnières-les-Bains;5067.0
2017;69045;Charentay;1240.0
2017;69046;Charly;4541.0
2017;69047;Charnay;1057.0
2017;69049;Chasselay;2784.0
2017;69050;Châtillon;2137.0
2017;69051;Chaussan;1116.0
2017;69052;Chazay-d'Azergues;4130.0
2017;69053;Chénas;545.0
2017;69054;Chénelette;321.0
2017;69055;Les Chères;1453.0
2017;69056;Chessy;2063.0
2017;69057;Chevinay;557.0
2017;69058;Chiroubles;391.0
2017;69059;Civrieux-d'Azergues;1515.0
2017;69060;Claveisolles;635.0
2017;69061;Cogny;1167.0
2017;69062;Coise;769.0
2017;69063;Collonges-au-Mont-d'Or;4052.0
2017;69064;Condrieu;3897.0
2017;69065;Corcelles-en-Beaujolais;942.0
2017;69066;Cours-la-Ville;4449.0
2017;69067;Courzieu;1118.0
2017;69068;Couzon-au-Mont-d'Or;2516.0
2017;69069;Craponne;11067.0
2017;69070;Cublize;1266.0
2017;69071;Curis-au-Mont-d'Or;1172.0
2017;69072;Dardilly;8600.0
2017;69074;Denicé;1513.0
2017;69075;Dième;186.0
2017;69076;Dommartin;2576.0
2017;69077;Dracé;956.0
2017;69078;Duerne;829.0
2017;69080;Échalas;1799.0
2017;69081;Écully;18517.0
2017;69082;Émeringes;259.0
2017;69083;Éveux;1169.0
2017;69084;Fleurie;1265.0
2017;69085;Fleurieu-sur-Saône;1449.0
2017;69086;Fleurieux-sur-l'Arbresle;2334.0
2017;69087;Fontaines-Saint-Martin;3052.0
2017;69088;Fontaines-sur-Saône;7069.0
2017;69089;Francheville;14198.0
2017;69090;Frontenas;815.0
2017;69091;Givors;19975.0
2017;69092;Gleizé;7472.0
2017;69093;Grandris;1181.0
2017;69094;Grézieu-la-Varenne;5734.0
2017;69095;Grézieu-le-Marché;815.0
2017;69096;Grigny;9662.0
2017;69097;Les Haies;785.0
2017;69098;Les Halles;492.0
2017;69099;Haute-Rivoire;1444.0
2017;69100;Irigny;8641.0
2017;69102;Joux;691.0
2017;69103;Juliénas;909.0
2017;69104;Jullié;435.0
2017;69105;Lacenas;972.0
2017;69106;Lachassagne;1118.0
2017;69107;Lamure-sur-Azergues;1048.0
2017;69108;Lancié;1021.0
2017;69109;Lantignié;880.0
2017;69110;Larajasse;1853.0
2017;69111;Légny;667.0
2017;69112;Lentilly;5793.0
2017;69113;Létra;922.0
2017;69115;Limas;4803.0
2017;69116;Limonest;3664.0
2017;69117;Lissieu;3122.0
2017;69118;Loire-sur-Rhône;2559.0
2017;69119;Longes;977.0
2017;69120;Longessaigne;595.0
2017;69121;Lozanne;2626.0
2017;69122;Lucenay;1808.0
2017;69124;Marchampt;462.0
2017;69125;Marcilly-d'Azergues;875.0
2017;69126;Marcy;726.0
2017;69127;Marcy-l'Étoile;3657.0
2017;69130;Meaux-la-Montagne;237.0
2017;69131;Messimy;3381.0
2017;69132;Meys;850.0
2017;69133;Millery;4331.0
2017;69134;Moiré;210.0
2017;69135;Monsols;1905.0
2017;69136;Montagny;2959.0
2017;69137;Montmelas-Saint-Sorlin;502.0
2017;69138;Montromant;456.0
2017;69139;Montrottier;1385.0
2017;69140;Morancé;1970.0
2017;69141;Mornant;5938.0
2017;69142;La Mulatière;6334.0
2017;69143;Neuville-sur-Saône;7514.0
2017;69145;Odenas;927.0
2017;69148;Orliénas;2444.0
2017;69149;Oullins;26273.0
2017;69151;Le Perréon;1587.0
2017;69152;Pierre-Bénite;10390.0
2017;69153;Poleymieux-au-Mont-d'Or;1332.0
2017;69154;Pollionnay;2637.0
2017;69155;Pomeys;1145.0
2017;69156;Pommiers;2637.0
2017;69157;Pontcharra-sur-Turdine;5133.0
2017;69159;Pouilly-le-Monial;3753.0
2017;69160;Poule-les-Écharmeaux;1102.0
2017;69161;Propières;468.0
2017;69162;Quincié-en-Beaujolais;1325.0
2017;69163;Quincieux;3467.0
2017;69164;Ranchal;319.0
2017;69165;Régnié-Durette;1119.0
